<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
SBER;60;20210111;170000;289.8100000
SBER;60;20210111;180000;289.0900000
SBER;60;20210111;190000;288.8500000
SBER;60;20210111;200000;289.4700000
SBER;60;20210111;210000;289.6000000
SBER;60;20210111;220000;289.4000000
SBER;60;20210111;230000;289.3700000
SBER;60;20210112;000000;289.4900000
SBER;60;20210112;110000;294.6200000
SBER;60;20210112;120000;292.5000000
SBER;60;20210112;130000;293.0000000
SBER;60;20210112;140000;292.8000000
SBER;60;20210112;150000;292.3200000
SBER;60;20210112;160000;292.2700000
SBER;60;20210112;170000;288.9400000
SBER;60;20210112;180000;288.5100000
SBER;60;20210112;190000;288.4500000
SBER;60;20210112;200000;287.8700000
SBER;60;20210112;210000;288.7300000
SBER;60;20210112;220000;288.5600000
SBER;60;20210112;230000;289.5600000
SBER;60;20210113;000000;289.9900000
SBER;60;20210113;110000;287.9700000
SBER;60;20210113;120000;285.8700000
SBER;60;20210113;130000;286.5000000
SBER;60;20210113;140000;285.2100000
SBER;60;20210113;150000;286.2100000
SBER;60;20210113;160000;285.8400000
SBER;60;20210113;170000;284.9000000
SBER;60;20210113;180000;284.0700000
SBER;60;20210113;190000;283.6600000
SBER;60;20210113;200000;283.9500000
SBER;60;20210113;210000;284.1200000
SBER;60;20210113;220000;284.4300000
SBER;60;20210113;230000;284.5600000
SBER;60;20210114;000000;283.7800000
SBER;60;20210114;110000;281.3900000
SBER;60;20210114;120000;282.8600000
SBER;60;20210114;130000;282.3500000
SBER;60;20210114;140000;285.9900000
SBER;60;20210114;150000;286.3000000
SBER;60;20210114;160000;284.6900000
SBER;60;20210114;170000;282.9400000
SBER;60;20210114;180000;285.0200000
SBER;60;20210114;190000;284.2800000
SBER;60;20210114;200000;284.7100000
SBER;60;20210114;210000;284.7700000
SBER;60;20210114;220000;285.0400000
SBER;60;20210114;230000;284.9900000
SBER;60;20210115;000000;284.7900000
SBER;60;20210115;110000;284.1300000
SBER;60;20210115;120000;283.3500000
SBER;60;20210115;130000;285.0000000
SBER;60;20210115;140000;284.2400000
SBER;60;20210115;150000;281.7500000
SBER;60;20210115;160000;279.0000000
SBER;60;20210115;170000;279.0500000
SBER;60;20210115;180000;277.4300000
SBER;60;20210115;190000;276.8200000
SBER;60;20210115;200000;277.2900000
SBER;60;20210115;210000;277.3000000
SBER;60;20210115;220000;276.9800000
SBER;60;20210115;230000;277.0900000
SBER;60;20210116;000000;276.9000000
SBER;60;20210118;110000;273.9000000
SBER;60;20210118;120000;275.9800000
SBER;60;20210118;130000;276.9600000
SBER;60;20210118;140000;279.9000000
SBER;60;20210118;150000;279.6000000
SBER;60;20210118;160000;279.0900000
SBER;60;20210118;170000;280.0200000
SBER;60;20210118;180000;280.2900000
SBER;60;20210118;190000;280.9500000
SBER;60;20210118;200000;279.5500000
SBER;60;20210118;210000;279.1000000
SBER;60;20210118;220000;279.1800000
SBER;60;20210118;230000;279.7300000
SBER;60;20210119;000000;279.7900000
SBER;60;20210119;110000;281.8500000
SBER;60;20210119;120000;280.3600000
SBER;60;20210119;130000;279.6000000
SBER;60;20210119;140000;279.5800000
SBER;60;20210119;150000;280.8900000
SBER;60;20210119;160000;280.0600000
SBER;60;20210119;170000;279.1900000
SBER;60;20210119;180000;277.9000000
SBER;60;20210119;190000;277.0900000
SBER;60;20210119;200000;277.5600000
SBER;60;20210119;210000;277.4200000
SBER;60;20210119;220000;277.2300000
SBER;60;20210119;230000;277.9000000
SBER;60;20210120;000000;278.1900000
SBER;60;20210120;110000;278.5400000
SBER;60;20210120;120000;279.1400000
SBER;60;20210120;130000;279.3700000
SBER;60;20210120;140000;279.9000000
SBER;60;20210120;150000;278.9700000
SBER;60;20210120;160000;279.3800000
SBER;60;20210120;170000;280.9500000
SBER;60;20210120;180000;280.2700000
SBER;60;20210120;190000;278.8000000
SBER;60;20210120;200000;278.8500000
SBER;60;20210120;210000;278.9800000
SBER;60;20210120;220000;279.4100000
SBER;60;20210120;230000;279.6000000
SBER;60;20210121;000000;279.8000000
SBER;60;20210121;110000;280.1100000
SBER;60;20210121;120000;274.6800000
SBER;60;20210121;130000;274.9400000
SBER;60;20210121;140000;275.1000000
SBER;60;20210121;150000;274.3200000
SBER;60;20210121;160000;275.0400000
SBER;60;20210121;170000;274.4100000
SBER;60;20210121;180000;273.5400000
SBER;60;20210121;190000;275.7500000
SBER;60;20210121;200000;275.1600000
SBER;60;20210121;210000;274.5600000
SBER;60;20210121;220000;274.9400000
SBER;60;20210121;230000;274.9900000
SBER;60;20210122;000000;274.4000000
SBER;60;20210122;110000;272.0600000
SBER;60;20210122;120000;268.8900000
SBER;60;20210122;130000;268.6000000
SBER;60;20210122;140000;267.8500000
SBER;60;20210122;150000;267.7400000
SBER;60;20210122;160000;268.1100000
SBER;60;20210122;170000;267.2300000
SBER;60;20210122;180000;268.4100000
SBER;60;20210122;190000;267.5000000
SBER;60;20210122;200000;268.5500000
SBER;60;20210122;210000;268.5500000
SBER;60;20210122;220000;268.4300000
SBER;60;20210122;230000;268.5100000
SBER;60;20210123;000000;268.2500000
SBER;60;20210125;110000;272.4800000
SBER;60;20210125;120000;269.4700000
SBER;60;20210125;130000;268.8500000
SBER;60;20210125;140000;269.5100000
SBER;60;20210125;150000;269.0700000
SBER;60;20210125;160000;267.1600000
SBER;60;20210125;170000;262.8900000
SBER;60;20210125;180000;263.9000000
SBER;60;20210125;190000;265.1900000
SBER;60;20210125;200000;264.3500000
SBER;60;20210125;210000;264.4500000
SBER;60;20210125;220000;264.9300000
SBER;60;20210125;230000;265.1900000
SBER;60;20210126;000000;265.3000000
SBER;60;20210126;110000;264.5600000
SBER;60;20210126;120000;267.5500000
SBER;60;20210126;130000;267.3400000
SBER;60;20210126;140000;266.4600000
SBER;60;20210126;150000;268.5800000
SBER;60;20210126;160000;268.1800000
SBER;60;20210126;170000;268.1400000
SBER;60;20210126;180000;268.1600000
SBER;60;20210126;190000;268.2700000
SBER;60;20210126;200000;267.7700000
SBER;60;20210126;210000;268.1200000
SBER;60;20210126;220000;268.4700000
SBER;60;20210126;230000;269.0000000
SBER;60;20210127;000000;269.3400000
SBER;60;20210127;110000;269.9300000
SBER;60;20210127;120000;271.3600000
SBER;60;20210127;130000;273.1100000
SBER;60;20210127;140000;272.7800000
SBER;60;20210127;150000;270.1200000
SBER;60;20210127;160000;267.6000000
SBER;60;20210127;170000;267.0700000
SBER;60;20210127;180000;266.1400000
SBER;60;20210127;190000;266.8400000
